CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX414737,8/31/2014 21:30,064XX N RIDGE BLVD,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2412,50,5,1162569,1942786,41.99866341,-87.67731239,"(41.99866341046913, -87.6773123904513)"
HX410444,8/31/2014 22:00,066XX N RAVENSWOOD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2432,40,08B,1163196,1943912,42.00173998,-87.67497401,"(42.00173997971756, -87.6749740063852)"
HX410673,9/1/2014 1:00,019XX W DEVON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2412,50,08B,1162161,1942552,41.99802988,-87.67881987,"(41.99802987524601, -87.67881987406614)"
HX410636,9/1/2014 1:30,065XX N SHERIDAN RD,1330,CRIMINAL TRESPASS,TO LAND,COLLEGE/UNIVERSITY GROUNDS,Y,N,2432,49,26,1167030,1943713,42.00111216,-87.66087504,"(42.00111215792329, -87.66087503524446)"
HX410688,9/1/2014 2:25,068XX N BELL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,2411,50,04A,1160174,1945158,42.00522227,-87.68605689,"(42.005222267119585, -87.68605688535425)"
HX410996,9/1/2014 8:00,014XX W LUNT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2423,49,14,1165161,1946646,42.00920044,-87.66766685,"(42.00920044258151, -87.66766685107467)"
HY125475,9/1/2014 10:00,010XX W GRANVILLE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,2433,48,26,1167906,1941301,41.99447466,-87.65772241,"(41.994474662003114, -87.65772240794743)"
HX411108,9/1/2014 11:03,069XX N WAYNE AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,APARTMENT,Y,N,2431,49,18,1165844,1946048,42.00754492,-87.66517107,"(42.00754491968667, -87.66517107277448)"
HX424623,9/1/2014 12:00,058XX N RAVENSWOOD AVE,610,BURGLARY,FORCIBLE ENTRY,CEMETARY,N,N,2012,40,5,1163299,1938482,41.98683773,-87.67474872,"(41.986837726367064, -87.67474871665148)"
HX411344,9/1/2014 12:20,013XX W GREENLEAF AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2423,49,6,1166473,1947130,42.01050045,-87.66282569,"(42.01050045063937, -87.66282568540898)"
HX414209,9/1/2014 17:00,014XX W ALBION AVE,810,THEFT,OVER $500,OTHER,N,N,2432,40,6,1165230,1943899,42.00166115,-87.66749158,"(42.00166114707135, -87.66749158481498)"
HX413531,9/1/2014 19:00,016XX W PRATT BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,2431,49,26,1163871,1945271,42.00545484,-87.67245218,"(42.005454838854426, -87.672452184966)"
HX411628,9/1/2014 20:23,067XX N BOSWORTH AVE,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2432,40,08B,1164680,1944766,42.00405193,-87.66949022,"(42.00405193327882, -87.66949022270543)"
HX412028,9/1/2014 21:00,021XX W ARTHUR AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,2412,50,5,1160926,1943094,41.99954295,-87.68334787,"(41.99954295457214, -87.6833478737686)"
HX411743,9/1/2014 22:30,064XX N SHERIDAN RD,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",Y,N,2432,49,26,1167126,1943210,41.99972985,-87.66053641,"(41.999729847145694, -87.66053640940684)"
HX411779,9/1/2014 23:10,010XX W GRANVILLE AVE,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,2433,48,6,1167982,1941303,41.9944785,-87.65744279,"(41.99447850434749, -87.65744278929832)"
HX411961,9/2/2014 0:00,058XX N WINTHROP AVE,810,THEFT,OVER $500,STREET,N,N,2022,48,6,1167767,1938973,41.98808959,-87.65830121,"(41.988089587739154, -87.65830120978042)"
HX412363,9/2/2014 0:10,068XX N SHERIDAN RD,810,THEFT,OVER $500,CONVENIENCE STORE,N,N,2431,49,6,1167037,1945380,42.00568628,-87.66080111,"(42.005686283865025, -87.66080111169099)"
HX414858,9/2/2014 3:00,014XX W DEVON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,2433,40,14,1165315,1942568,41.99800704,-87.66721698,"(41.99800703877425, -87.66721697570924)"
HY225391,9/2/2014 6:00,015XX W GREENLEAF AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,N,N,2423,49,11,1164758,1947080,42.01039994,-87.66913721,"(42.010399935918095, -87.66913721398349)"
HX412933,9/2/2014 8:32,064XX N HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),N,N,2432,40,14,1163609,1942871,41.99887472,-87.67348415,"(41.99887472466858, -87.67348415081466)"
HX412127,9/2/2014 9:20,019XX W DEVON AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,Y,N,2412,50,26,1162161,1942552,41.99802988,-87.67881987,"(41.99802987524601, -87.67881987406614)"
HX412820,9/2/2014 11:30,012XX W NORWOOD ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,2433,48,5,1166873,1940361,41.99191758,-87.66154935,"(41.99191758173983, -87.66154935221951)"
HX412583,9/2/2014 14:37,015XX W FARWELL AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,Y,N,2431,49,26,1165009,1945754,42.00675602,-87.6682516,"(42.0067560192546, -87.66825159875145)"
HX413088,9/2/2014 19:50,057XX N SHERIDAN RD,1570,SEX OFFENSE,PUBLIC INDECENCY,OTHER,Y,N,2022,48,17,1168549,1938573,41.98697503,-87.65543661,"(41.98697502971997, -87.65543661193193)"
HX413536,9/2/2014 20:00,069XX N WOLCOTT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2424,49,7,1162305,1946278,42.0082511,-87.67818527,"(42.00825109856803, -87.6781852657785)"
HX413129,9/2/2014 21:20,014XX W LUNT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2431,49,08B,1165255,1946569,42.00898715,-87.6673232,"(42.00898714700184, -87.66732320237968)"
HX413823,9/3/2014 8:58,057XX N BROADWAY,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,N,N,2013,48,26,1167234,1938160,41.98587021,-87.66028512,"(41.98587020663818, -87.6602851165317)"
HX414327,9/3/2014 9:00,060XX N KENMORE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2433,48,14,1168191,1940172,41.99137049,-87.65670687,"(41.99137048859237, -87.65670686950318)"
HX414917,9/3/2014 9:00,017XX W PETERSON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,2433,40,11,1163571,1939961,41.99089041,-87.6737064,"(41.99089040512292, -87.67370640237371)"
HX414122,9/3/2014 9:00,017XX W PETERSON AVE,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2433,40,6,1163571,1939961,41.99089041,-87.6737064,"(41.99089040512292, -87.67370640237371)"
HX413615,9/3/2014 10:10,021XX W DEVON AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,2412,50,08B,1160551,1942502,41.99792629,-87.6847439,"(41.99792629026903, -87.68474389779306)"
HX413816,9/3/2014 13:00,020XX W ARTHUR AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,2412,50,6,1161397,1943189,41.99979381,-87.68161253,"(41.99979381332371, -87.68161252770781)"
HX414170,9/3/2014 16:30,064XX N CLARK ST,870,THEFT,POCKET-PICKING,CTA BUS,N,N,2432,40,6,1164351,1942605,41.99812909,-87.67076213,"(41.99812909108432, -87.67076213276174)"
HX414791,9/3/2014 19:00,062XX N LEAVITT ST,820,THEFT,$500 AND UNDER,STREET,N,N,2413,50,6,1160547,1941766,41.99590676,-87.68477912,"(41.99590676465214, -87.68477911896561)"
HX414592,9/3/2014 22:19,063XX N BELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2413,50,08B,1160123,1942065,41.99673603,-87.68633051,"(41.99673603244565, -87.68633050613077)"
HX415823,9/3/2014 23:00,059XX N KENMORE AVE,820,THEFT,$500 AND UNDER,OTHER,Y,N,2433,48,6,1168118,1939945,41.99074918,-87.65698198,"(41.99074917819341, -87.65698197607864)"
HX415386,9/4/2014 8:15,070XX N WESTERN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,N,N,2411,50,11,1159085,1946563,42.00910015,-87.69002455,"(42.00910015370448, -87.69002455175077)"
HX416154,9/4/2014 8:45,017XX W MORSE AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,2431,49,08B,1163680,1946079,42.00767605,-87.67313196,"(42.007676052732144, -87.67313196392547)"
HX415652,9/4/2014 9:00,058XX N KENMORE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2022,48,7,1168138,1939278,41.98891848,-87.65692779,"(41.988918482345845, -87.65692778908804)"
HX423143,9/4/2014 9:00,020XX W DEVON AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,APARTMENT,N,N,2412,50,10,1161255,1942524,41.997972,-87.68215352,"(41.99797199716178, -87.6821535152985)"
HX414932,9/4/2014 9:15,020XX W PETERSON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,N,N,2413,40,7,1161817,1939907,41.99077912,-87.68015955,"(41.9907791181594, -87.68015954662287)"
HX425975,9/4/2014 14:00,061XX N BROADWAY,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,N,N,2433,48,11,1167219,1941214,41.99425078,-87.660252,"(41.99425077747778, -87.66025200494767)"
HX415423,9/4/2014 15:37,013XX W MORSE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2431,49,18,1165937,1946148,42.00781733,-87.66482604,"(42.00781732922647, -87.66482603540204)"
HX416774,9/4/2014 17:30,017XX W NORTH SHORE AVE,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2432,49,08A,1163613,1944516,42.00338856,-87.6734228,"(42.00338856188029, -87.67342279569453)"
HX416067,9/4/2014 18:00,060XX N KENMORE AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,2433,48,6,1168112,1940136,41.99127342,-87.6569985,"(41.991273416243224, -87.65699849699715)"
HX415635,9/4/2014 18:43,067XX N SEELEY AVE,560,ASSAULT,SIMPLE,STREET,N,N,2412,50,08A,1161367,1944676,42.00387481,-87.68168126,"(42.0038748118761, -87.68168125612654)"
HX415729,9/4/2014 20:15,064XX N MAGNOLIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2432,40,08B,1166722,1942997,41.99915407,-87.66202876,"(41.99915407210754, -87.66202876141716)"
HX415789,9/4/2014 21:35,058XX N RIDGE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2013,48,08B,1165317,1938892,41.98791996,-87.66731479,"(41.98791995689939, -87.6673147898548)"
HX417025,9/4/2014 23:00,070XX N SHERIDAN RD,810,THEFT,OVER $500,ALLEY,N,N,2423,49,6,1166603,1946785,42.00955097,-87.66235732,"(42.0095509704578, -87.6623573184308)"
HX416025,9/5/2014 0:00,013XX W MORSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2431,49,14,1166200,1946156,42.00783364,-87.66385818,"(42.00783364191054, -87.66385817503996)"
HX494070,9/5/2014 0:01,060XX N ARTESIAN AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,2413,40,6,1158856,1940004,41.99110674,-87.69104814,"(41.99110674409788, -87.69104813513265)"
HX416193,9/5/2014 0:30,010XX W THORNDALE AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,2433,48,6,1167822,1939731,41.99016837,-87.65807693,"(41.9901683671243, -87.65807693405627)"
HX417292,9/5/2014 13:00,063XX N PAULINA ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2433,40,5,1164082,1941734,41.99574475,-87.67177644,"(41.99574475144231, -87.67177644410584)"
HX420773,9/5/2014 13:30,057XX N SHERIDAN RD,460,BATTERY,SIMPLE,OTHER,N,N,2022,48,08B,1168645,1938124,41.98574088,-87.6550966,"(41.98574087813201, -87.65509660213117)"
HX421569,9/5/2014 16:00,069XX N GLENWOOD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2431,49,7,1165524,1946358,42.00840241,-87.66633953,"(42.008402412437526, -87.66633952683583)"
HX417463,9/5/2014 17:00,063XX N SHERIDAN RD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,2433,49,26,1168441,1942079,41.99659791,-87.6557318,"(41.99659790884939, -87.65573180331421)"
HX420781,9/5/2014 17:30,063XX N OAKLEY AVE,560,ASSAULT,SIMPLE,APARTMENT,N,Y,2413,50,08A,1159785,1942208,41.99713543,-87.6875699,"(41.99713543070156, -87.68756989942266)"
HX418006,9/5/2014 20:00,059XX N WINTHROP AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2433,48,7,1167818,1939919,41.99068433,-87.65808619,"(41.99068432979616, -87.65808619445764)"
HX417706,9/5/2014 21:40,061XX N BROADWAY,620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,N,N,2433,48,5,1167228,1940920,41.99344384,-87.6602274,"(41.99344384103164, -87.66022739976329)"
HX417195,9/5/2014 21:57,010XX W NORTH SHORE AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,APARTMENT,Y,N,2432,49,3,1167803,1944631,42.00361447,-87.65800468,"(42.00361447054547, -87.65800467609776)"
HX417266,9/5/2014 22:58,056XX N RIDGE AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,2013,48,26,1166794,1937699,41.98461469,-87.6619167,"(41.98461468700913, -87.66191670024809)"
HX417373,9/6/2014 1:31,067XX N NEWGARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,Y,Y,2432,40,08B,1165340,1944674,42.00378542,-87.66706472,"(42.003785415391654, -87.66706472456359)"
HX417601,9/6/2014 2:00,061XX N WOLCOTT AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,2413,40,3,1162602,1940376,41.9920496,-87.67725892,"(41.99204960370257, -87.6772589190642)"
HX417683,9/6/2014 10:20,064XX N RIDGE BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2412,50,08B,1162639,1942586,41.99811313,-87.67706052,"(41.99811313280083, -87.6770605215124)"
HX418396,9/6/2014 20:20,057XX N CAMPBELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2011,40,08B,1158591,1937834,41.98515762,-87.69208264,"(41.98515762304985, -87.69208263765529)"
HX418424,9/6/2014 21:04,014XX W MORSE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,2431,49,04B,1165371,1946130,42.00778005,-87.66690898,"(42.00778004584161, -87.66690898033619)"
HX418561,9/6/2014 22:30,013XX W COLUMBIA AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2432,40,6,1165766,1944884,42.00435255,-87.66549146,"(42.004352552058215, -87.66549145633905)"
